month,year,country_na,mean
1.0,1981.0,South Africa,79.64702592963799
2.0,1981.0,South Africa,69.57526827125776
3.0,1981.0,South Africa,55.949375825378695
4.0,1981.0,South Africa,20.533006050525696
5.0,1981.0,South Africa,23.130090937231294
6.0,1981.0,South Africa,10.73573009097769
7.0,1981.0,South Africa,10.729725626346204
8.0,1981.0,South Africa,34.32679514521837
9.0,1981.0,South Africa,18.344491091210745
10.0,1981.0,South Africa,31.895980370549943
11.0,1981.0,South Africa,47.737242042716204
12.0,1981.0,South Africa,54.782870116505414
1.0,1982.0,South Africa,51.892720097354704
2.0,1982.0,South Africa,40.20089787490948
3.0,1982.0,South Africa,43.99689571653785
4.0,1982.0,South Africa,51.23844351937493
5.0,1982.0,South Africa,9.591056880863174
6.0,1982.0,South Africa,13.730047142474703
7.0,1982.0,South Africa,15.185493444219015
8.0,1982.0,South Africa,7.969163334399872
9.0,1982.0,South Africa,16.59892805286541
10.0,1982.0,South Africa,55.06751573034912
11.0,1982.0,South Africa,40.35461480587087
12.0,1982.0,South Africa,41.948669340864406
1.0,1983.0,South Africa,47.06578465202097
2.0,1983.0,South Africa,29.16408826991107
3.0,1983.0,South Africa,45.9480221499523
4.0,1983.0,South Africa,25.007985823892934
5.0,1983.0,South Africa,20.830454122510865
6.0,1983.0,South Africa,17.589570123245174
7.0,1983.0,South Africa,20.221945070591456
8.0,1983.0,South Africa,10.863045773439794
9.0,1983.0,South Africa,19.49551676050283
10.0,1983.0,South Africa,36.96092023898673
11.0,1983.0,South Africa,81.24642766596898
12.0,1983.0,South Africa,62.04401616173733
1.0,1984.0,South Africa,58.969311384682165
2.0,1984.0,South Africa,32.04450357308218
3.0,1984.0,South Africa,68.3973663771466
4.0,1984.0,South Africa,23.270292894129934
5.0,1984.0,South Africa,18.026588538879608
6.0,1984.0,South Africa,10.969891162489374
7.0,1984.0,South Africa,12.773251335109046
8.0,1984.0,South Africa,15.711279187149868
9.0,1984.0,South Africa,16.466190141303006
10.0,1984.0,South Africa,54.34607063391159
11.0,1984.0,South Africa,50.3449931710399
12.0,1984.0,South Africa,36.792211373872334
1.0,1985.0,South Africa,70.68606952835728
2.0,1985.0,South Africa,82.14452679730245
3.0,1985.0,South Africa,46.58645767534574
4.0,1985.0,South Africa,17.600547712641237
5.0,1985.0,South Africa,11.95882449193666
6.0,1985.0,South Africa,13.54597023157654
7.0,1985.0,South Africa,10.704076754257567
8.0,1985.0,South Africa,8.227057811451433
9.0,1985.0,South Africa,16.132878768276953
10.0,1985.0,South Africa,69.47601283501446
11.0,1985.0,South Africa,54.563456168702096
12.0,1985.0,South Africa,82.22337415658487
1.0,1986.0,South Africa,60.29219829350293
2.0,1986.0,South Africa,47.03465030258009
3.0,1986.0,South Africa,47.61395636628262
4.0,1986.0,South Africa,34.77901068857165
5.0,1986.0,South Africa,6.566371022372192
6.0,1986.0,South Africa,18.883246734183817
7.0,1986.0,South Africa,9.639019857589435
8.0,1986.0,South Africa,21.513692236968538
9.0,1986.0,South Africa,18.017262255649474
10.0,1986.0,South Africa,51.39377775518663
11.0,1986.0,South Africa,58.98809215965997
12.0,1986.0,South Africa,53.102014036778286
1.0,1987.0,South Africa,49.758268285144865
2.0,1987.0,South Africa,54.34510015698795
3.0,1987.0,South Africa,49.113961088562306
4.0,1987.0,South Africa,29.01125536357665
5.0,1987.0,South Africa,10.891250798510878
6.0,1987.0,South Africa,13.970321813653634
7.0,1987.0,South Africa,11.763907461396938
8.0,1987.0,South Africa,20.412126929706712
9.0,1987.0,South Africa,61.328051425361245
10.0,1987.0,South Africa,32.986604246770675
11.0,1987.0,South Africa,63.80456721331573
12.0,1987.0,South Africa,61.83947307334298
1.0,1988.0,South Africa,43.988834871784896
2.0,1988.0,South Africa,117.45782496745284
3.0,1988.0,South Africa,80.15321053548772
4.0,1988.0,South Africa,46.66187737586743
5.0,1988.0,South Africa,13.255878712338276
6.0,1988.0,South Africa,17.076852080317824
7.0,1988.0,South Africa,9.341448049217002
8.0,1988.0,South Africa,10.845728155924968
9.0,1988.0,South Africa,23.986821937676222
10.0,1988.0,South Africa,56.53214942283263
11.0,1988.0,South Africa,45.954617577894936
12.0,1988.0,South Africa,77.87517269493692
1.0,1989.0,South Africa,60.885419836860024
2.0,1989.0,South Africa,98.04294366204533
3.0,1989.0,South Africa,41.80212235846392
4.0,1989.0,South Africa,48.06915703039263
5.0,1989.0,South Africa,12.817951025398242
6.0,1989.0,South Africa,12.774648160812662
7.0,1989.0,South Africa,10.862970198731706
8.0,1989.0,South Africa,11.779989897000274
9.0,1989.0,South Africa,14.129412403957813
10.0,1989.0,South Africa,39.905695669609536
11.0,1989.0,South Africa,85.65537455112818
12.0,1989.0,South Africa,52.634035777743556
1.0,1990.0,South Africa,50.51698886004009
2.0,1990.0,South Africa,46.34634130862819
3.0,1990.0,South Africa,64.0317645493594
4.0,1990.0,South Africa,53.30494193193425
5.0,1990.0,South Africa,12.326631571502126
6.0,1990.0,South Africa,16.333008534197955
7.0,1990.0,South Africa,11.222959226098915
8.0,1990.0,South Africa,12.399772569021456
9.0,1990.0,South Africa,10.331410989615973
10.0,1990.0,South Africa,29.98243040399388
11.0,1990.0,South Africa,30.171650133793417
12.0,1990.0,South Africa,58.99844179504702
1.0,1991.0,South Africa,103.68921200515844
2.0,1991.0,South Africa,62.935706135084246
3.0,1991.0,South Africa,78.51811029342068
4.0,1991.0,South Africa,10.958317285680996
5.0,1991.0,South Africa,11.488196281134782
6.0,1991.0,South Africa,19.759269351726616
7.0,1991.0,South Africa,10.603988433517056
8.0,1991.0,South Africa,7.325556518926733
9.0,1991.0,South Africa,27.213209332947795
10.0,1991.0,South Africa,61.52365303033368
11.0,1991.0,South Africa,42.156861848984505
12.0,1991.0,South Africa,58.232058795331504
1.0,1992.0,South Africa,36.590606166520644
2.0,1992.0,South Africa,42.35952774778443
3.0,1992.0,South Africa,41.351998341533886
4.0,1992.0,South Africa,19.661485039453137
5.0,1992.0,South Africa,8.423407113084913
6.0,1992.0,South Africa,12.03358831946785
7.0,1992.0,South Africa,11.037812110335771
8.0,1992.0,South Africa,18.691238567063625
9.0,1992.0,South Africa,11.706833234248572
10.0,1992.0,South Africa,37.043248255456994
11.0,1992.0,South Africa,54.99046689796119
12.0,1992.0,South Africa,52.13891392486676
1.0,1993.0,South Africa,42.715796077438114
2.0,1993.0,South Africa,61.028604899819555
3.0,1993.0,South Africa,42.1451594182419
4.0,1993.0,South Africa,33.588227897476614
5.0,1993.0,South Africa,15.731664883521935
6.0,1993.0,South Africa,11.844027168441965
7.0,1993.0,South Africa,12.689661337069756
8.0,1993.0,South Africa,14.253598335334459
9.0,1993.0,South Africa,17.74335268297246
10.0,1993.0,South Africa,68.8449057255182
11.0,1993.0,South Africa,51.83438237640304
12.0,1993.0,South Africa,72.53605238034295
1.0,1994.0,South Africa,72.39575901208165
2.0,1994.0,South Africa,65.04412121054753
3.0,1994.0,South Africa,57.965775904970116
4.0,1994.0,South Africa,21.43367353959896
5.0,1994.0,South Africa,8.040686411223371
6.0,1994.0,South Africa,13.613029087142268
7.0,1994.0,South Africa,11.10852323346766
8.0,1994.0,South Africa,10.421542610653823
9.0,1994.0,South Africa,10.49607311220089
10.0,1994.0,South Africa,28.196349916492665
11.0,1994.0,South Africa,34.865643404042814
12.0,1994.0,South Africa,47.51908088367084
1.0,1995.0,South Africa,59.8480538020901
2.0,1995.0,South Africa,43.91569234671236
3.0,1995.0,South Africa,77.18001309853506
4.0,1995.0,South Africa,26.496521288399997
5.0,1995.0,South Africa,21.61692394416236
6.0,1995.0,South Africa,11.881295555596399
7.0,1995.0,South Africa,8.218969538865517
8.0,1995.0,South Africa,12.532349042435696
9.0,1995.0,South Africa,14.652431317111633
10.0,1995.0,South Africa,43.50150182620991
11.0,1995.0,South Africa,67.63084383903715
12.0,1995.0,South Africa,99.13745091200356
1.0,1996.0,South Africa,85.92659759896895
2.0,1996.0,South Africa,100.65777662212433
3.0,1996.0,South Africa,45.354116404363204
4.0,1996.0,South Africa,33.606060091955776
5.0,1996.0,South Africa,20.033314889665235
6.0,1996.0,South Africa,10.450151414204367
7.0,1996.0,South Africa,21.739472263696587
8.0,1996.0,South Africa,14.36944044586847
9.0,1996.0,South Africa,14.160272682473078
10.0,1996.0,South Africa,54.51057707357691
11.0,1996.0,South Africa,91.15694241936653
12.0,1996.0,South Africa,66.40617046519316
1.0,1997.0,South Africa,69.5904814409977
2.0,1997.0,South Africa,39.00266495480605
3.0,1997.0,South Africa,100.58748998942039
4.0,1997.0,South Africa,35.54862013714094
5.0,1997.0,South Africa,27.764582702688536
6.0,1997.0,South Africa,28.63087753075895
7.0,1997.0,South Africa,11.011910083440098
8.0,1997.0,South Africa,14.517428368295546
9.0,1997.0,South Africa,19.211795190168704
10.0,1997.0,South Africa,40.2957292788312
11.0,1997.0,South Africa,49.011234641144306
12.0,1997.0,South Africa,45.19582909476224
1.0,1998.0,South Africa,69.98209236222083
2.0,1998.0,South Africa,62.18157541032891
3.0,1998.0,South Africa,64.90744724390754
4.0,1998.0,South Africa,19.914364837497473
5.0,1998.0,South Africa,14.53859613518434
6.0,1998.0,South Africa,7.643380027784618
7.0,1998.0,South Africa,12.256002479427934
8.0,1998.0,South Africa,12.323386463878672
9.0,1998.0,South Africa,18.381265023357383
10.0,1998.0,South Africa,45.492757570300824
11.0,1998.0,South Africa,72.8147828963779
12.0,1998.0,South Africa,71.55169284054699
1.0,1999.0,South Africa,62.64412154349445
2.0,1999.0,South Africa,43.81006043856005
3.0,1999.0,South Africa,40.601941849812775
4.0,1999.0,South Africa,25.812260603936693
5.0,1999.0,South Africa,20.85835076899226
6.0,1999.0,South Africa,8.721912706905824
7.0,1999.0,South Africa,11.924143671950585
8.0,1999.0,South Africa,11.543451364808828
9.0,1999.0,South Africa,19.2731570734235
10.0,1999.0,South Africa,38.83402086810812
11.0,1999.0,South Africa,48.80903784351721
12.0,1999.0,South Africa,95.3507947419096
1.0,2000.0,South Africa,81.98962997259792
2.0,2000.0,South Africa,95.26579715331157
3.0,2000.0,South Africa,83.84669102149874
4.0,2000.0,South Africa,35.99480288681647
5.0,2000.0,South Africa,16.88493392111832
6.0,2000.0,South Africa,9.037535603082071
7.0,2000.0,South Africa,8.401775815325962
8.0,2000.0,South Africa,9.535218345002884
9.0,2000.0,South Africa,17.67681015371885
10.0,2000.0,South Africa,41.6328525084775
11.0,2000.0,South Africa,66.15810242386303
12.0,2000.0,South Africa,52.71966156509082
1.0,2001.0,South Africa,34.67611748270962
2.0,2001.0,South Africa,56.989015274190145
3.0,2001.0,South Africa,48.39757833826351
4.0,2001.0,South Africa,53.1400685560455
5.0,2001.0,South Africa,14.027143537848167
6.0,2001.0,South Africa,8.646579779894624
7.0,2001.0,South Africa,14.896208813066163
8.0,2001.0,South Africa,13.172474114273331
9.0,2001.0,South Africa,25.33906342661873
10.0,2001.0,South Africa,49.0729708487042
11.0,2001.0,South Africa,87.52060458508794
12.0,2001.0,South Africa,69.30906222986081
1.0,2002.0,South Africa,59.107168993397934
2.0,2002.0,South Africa,39.87607682834407
3.0,2002.0,South Africa,40.42308635642509
4.0,2002.0,South Africa,27.646682678749247
5.0,2002.0,South Africa,23.152298979297562
6.0,2002.0,South Africa,13.555505868278578
7.0,2002.0,South Africa,16.396126187539664
8.0,2002.0,South Africa,27.729764646889087
9.0,2002.0,South Africa,22.189116807250954
10.0,2002.0,South Africa,30.032168877732357
11.0,2002.0,South Africa,28.11366755395644
12.0,2002.0,South Africa,76.28410992287446
1.0,2003.0,South Africa,48.031464714135616
2.0,2003.0,South Africa,52.5290791402154
3.0,2003.0,South Africa,46.053407737245706
4.0,2003.0,South Africa,22.826869075357763
5.0,2003.0,South Africa,9.148504087668348
6.0,2003.0,South Africa,8.792218614728272
7.0,2003.0,South Africa,6.734381609896623
8.0,2003.0,South Africa,16.217241891765614
9.0,2003.0,South Africa,18.728264842096575
10.0,2003.0,South Africa,29.896021546349395
11.0,2003.0,South Africa,48.807874374466046
12.0,2003.0,South Africa,36.24974064719168
1.0,2004.0,South Africa,70.71875694718122
2.0,2004.0,South Africa,78.66488294620606
3.0,2004.0,South Africa,61.91335144978553
4.0,2004.0,South Africa,38.2384003925944
5.0,2004.0,South Africa,7.726362989270278
6.0,2004.0,South Africa,13.029636732767031
7.0,2004.0,South Africa,10.67497791219183
8.0,2004.0,South Africa,11.77113048883078
9.0,2004.0,South Africa,19.035001927237182
10.0,2004.0,South Africa,30.83234554350237
11.0,2004.0,South Africa,41.95211166988745
12.0,2004.0,South Africa,64.0103578174021
1.0,2005.0,South Africa,76.9281853680878
2.0,2005.0,South Africa,60.958617989047774
3.0,2005.0,South Africa,52.81283250422389
4.0,2005.0,South Africa,37.84144404289443
5.0,2005.0,South Africa,16.20485965462956
6.0,2005.0,South Africa,10.700081273125498
7.0,2005.0,South Africa,6.850817811078091
8.0,2005.0,South Africa,12.793455047968985
9.0,2005.0,South Africa,10.845062503527506
10.0,2005.0,South Africa,29.12338928184743
11.0,2005.0,South Africa,61.78676722551524
12.0,2005.0,South Africa,37.78683159625114
1.0,2006.0,South Africa,95.31340124759083
2.0,2006.0,South Africa,105.24929961727895
3.0,2006.0,South Africa,61.03404594046225
4.0,2006.0,South Africa,38.162512958080754
5.0,2006.0,South Africa,23.980497881255282
6.0,2006.0,South Africa,8.961336521992612
7.0,2006.0,South Africa,11.82557117909786
8.0,2006.0,South Africa,27.6629461523382
9.0,2006.0,South Africa,15.502755323813892
10.0,2006.0,South Africa,41.84219214899168
11.0,2006.0,South Africa,52.45239066090087
12.0,2006.0,South Africa,67.81259121930351
1.0,2007.0,South Africa,46.308449600978996
2.0,2007.0,South Africa,32.17904656526634
3.0,2007.0,South Africa,43.77039602496279
4.0,2007.0,South Africa,41.13137773670928
5.0,2007.0,South Africa,9.857483117106993
6.0,2007.0,South Africa,17.277157991524057
7.0,2007.0,South Africa,11.726823940676233
8.0,2007.0,South Africa,10.659261828812031
9.0,2007.0,South Africa,18.59091800122554
10.0,2007.0,South Africa,67.480449828838
11.0,2007.0,South Africa,61.0206189305369
12.0,2007.0,South Africa,66.29963889153429
1.0,2008.0,South Africa,77.13813520178435
2.0,2008.0,South Africa,53.49509482072501
3.0,2008.0,South Africa,61.45775516486091
4.0,2008.0,South Africa,23.431248583576657
5.0,2008.0,South Africa,21.897761384757604
6.0,2008.0,South Africa,17.31880235996274
7.0,2008.0,South Africa,12.439284534059414
8.0,2008.0,South Africa,10.356386150940411
9.0,2008.0,South Africa,13.007239398037195
10.0,2008.0,South Africa,25.698471287088566
11.0,2008.0,South Africa,62.64670101582673
12.0,2008.0,South Africa,53.3128348317566
1.0,2009.0,South Africa,82.50518035771876
2.0,2009.0,South Africa,88.25041994999827
3.0,2009.0,South Africa,41.1973122326277
4.0,2009.0,South Africa,22.71718435228182
5.0,2009.0,South Africa,16.320079452808137
6.0,2009.0,South Africa,22.044712410379255
7.0,2009.0,South Africa,11.421191259799572
8.0,2009.0,South Africa,14.217645686972222
9.0,2009.0,South Africa,14.024374664515786
10.0,2009.0,South Africa,56.49084914992904
11.0,2009.0,South Africa,59.48841557176658
12.0,2009.0,South Africa,53.98935861985358
1.0,2010.0,South Africa,95.2294421079894
2.0,2010.0,South Africa,56.1609774744701
3.0,2010.0,South Africa,46.92524947829747
4.0,2010.0,South Africa,38.816506643727735
5.0,2010.0,South Africa,14.331949254241188
6.0,2010.0,South Africa,11.865068245297584
7.0,2010.0,South Africa,7.887368243579389
8.0,2010.0,South Africa,6.748439527313556
9.0,2010.0,South Africa,7.31665257925446
10.0,2010.0,South Africa,32.491736357021026
11.0,2010.0,South Africa,55.16217626924913
12.0,2010.0,South Africa,86.71077821722963
1.0,2011.0,South Africa,90.45455739776898
2.0,2011.0,South Africa,64.21555015026955
3.0,2011.0,South Africa,57.891086751405986
4.0,2011.0,South Africa,39.99133375334992
5.0,2011.0,South Africa,24.325510524827525
6.0,2011.0,South Africa,18.320010737433865
7.0,2011.0,South Africa,14.243719844639033
8.0,2011.0,South Africa,12.45796521735393
9.0,2011.0,South Africa,9.503393049892805
10.0,2011.0,South Africa,30.19407466564558
11.0,2011.0,South Africa,35.12100217858082
12.0,2011.0,South Africa,58.48839290204635
1.0,2012.0,South Africa,53.92149997973911
2.0,2012.0,South Africa,48.977706932897156
3.0,2012.0,South Africa,51.356589050990266
4.0,2012.0,South Africa,24.557770568361427
5.0,2012.0,South Africa,8.267303213184787
6.0,2012.0,South Africa,16.1459163944166
7.0,2012.0,South Africa,11.992725492323283
8.0,2012.0,South Africa,14.647633199956863
9.0,2012.0,South Africa,30.173605729954396
10.0,2012.0,South Africa,52.83003900511247
11.0,2012.0,South Africa,38.593395328161066
12.0,2012.0,South Africa,78.89304306412062
1.0,2013.0,South Africa,59.71117936154348
2.0,2013.0,South Africa,41.139979110856466
3.0,2013.0,South Africa,60.47173265340498
4.0,2013.0,South Africa,29.756635228936542
5.0,2013.0,South Africa,10.010054410032478
6.0,2013.0,South Africa,13.890946946471034
7.0,2013.0,South Africa,10.422853896797072
8.0,2013.0,South Africa,14.971333373355163
9.0,2013.0,South Africa,12.103722188015768
10.0,2013.0,South Africa,40.88912726334456
11.0,2013.0,South Africa,47.963489181312674
12.0,2013.0,South Africa,76.95404732458141
1.0,2014.0,South Africa,53.395858474627246
2.0,2014.0,South Africa,60.8297529117241
3.0,2014.0,South Africa,74.29062854566669
4.0,2014.0,South Africa,25.109689394677414
5.0,2014.0,South Africa,13.284258379893007
6.0,2014.0,South Africa,9.74936290995375
7.0,2014.0,South Africa,8.900729315144932
8.0,2014.0,South Africa,11.617243277497213
9.0,2014.0,South Africa,13.946310717736909
10.0,2014.0,South Africa,22.744854338727095
11.0,2014.0,South Africa,62.68488385738166
12.0,2014.0,South Africa,66.33059934753098
1.0,2015.0,South Africa,45.66236675405602
2.0,2015.0,South Africa,39.08634021429106
3.0,2015.0,South Africa,62.68375261343749
4.0,2015.0,South Africa,24.969408068126878
5.0,2015.0,South Africa,7.462036988822307
6.0,2015.0,South Africa,18.63618060856306
7.0,2015.0,South Africa,17.221307798154548
8.0,2015.0,South Africa,14.009304656705108
9.0,2015.0,South Africa,24.349360189014558
10.0,2015.0,South Africa,21.809005104517624
11.0,2015.0,South Africa,32.74198603620595
12.0,2015.0,South Africa,34.410087858911375
1.0,2016.0,South Africa,68.9566967261193
2.0,2016.0,South Africa,48.36169755568502
3.0,2016.0,South Africa,53.66193710958507
4.0,2016.0,South Africa,23.53772783826363
5.0,2016.0,South Africa,18.85418254340965
6.0,2016.0,South Africa,13.666738133511751
7.0,2016.0,South Africa,19.676987968279256
8.0,2016.0,South Africa,11.206137827378935
9.0,2016.0,South Africa,15.480636752338947
10.0,2016.0,South Africa,24.737240159629387
11.0,2016.0,South Africa,53.66070881947256
12.0,2016.0,South Africa,60.490059921767276
1.0,2017.0,South Africa,93.47775118331724
2.0,2017.0,South Africa,91.49100298064171
3.0,2017.0,South Africa,30.40367774865503
4.0,2017.0,South Africa,34.790424585302056
5.0,2017.0,South Africa,13.65119080387305
6.0,2017.0,South Africa,9.798567335259172
7.0,2017.0,South Africa,6.788367529333554
8.0,2017.0,South Africa,9.161829488152506
9.0,2017.0,South Africa,13.321275398292382
10.0,2017.0,South Africa,42.520435482816346
11.0,2017.0,South Africa,42.44620746078552
12.0,2017.0,South Africa,49.77327927466498
1.0,2018.0,South Africa,60.907173650959336
2.0,2018.0,South Africa,82.12806579372771
3.0,2018.0,South Africa,67.20673941357354
4.0,2018.0,South Africa,44.19885034225075
5.0,2018.0,South Africa,18.049348569057486
6.0,2018.0,South Africa,9.217628896908419
7.0,2018.0,South Africa,10.516775026536875
8.0,2018.0,South Africa,14.657068274165686
9.0,2018.0,South Africa,21.939671898508266
10.0,2018.0,South Africa,21.241337433570465
11.0,2018.0,South Africa,26.65065402719574
12.0,2018.0,South Africa,51.99584853309073
1.0,2019.0,South Africa,51.700129936389864
2.0,2019.0,South Africa,77.2216174428999
