month,year,country_na,mean
1.0,1981.0,Ethiopia,5.088383352943472
2.0,1981.0,Ethiopia,12.90707872596406
3.0,1981.0,Ethiopia,111.42102602829043
4.0,1981.0,Ethiopia,109.3204489162939
5.0,1981.0,Ethiopia,71.83959706550228
6.0,1981.0,Ethiopia,55.79855733128024
7.0,1981.0,Ethiopia,147.10728965850788
8.0,1981.0,Ethiopia,142.33388811178614
9.0,1981.0,Ethiopia,104.48188351755827
10.0,1981.0,Ethiopia,53.41336860085696
11.0,1981.0,Ethiopia,19.422779232493035
12.0,1981.0,Ethiopia,6.080221049316619
1.0,1982.0,Ethiopia,16.429045718252198
2.0,1982.0,Ethiopia,23.612660970391993
3.0,1982.0,Ethiopia,40.91144355154993
4.0,1982.0,Ethiopia,103.25645370557076
5.0,1982.0,Ethiopia,112.32307686486747
6.0,1982.0,Ethiopia,64.96977628450948
7.0,1982.0,Ethiopia,97.00700587667289
8.0,1982.0,Ethiopia,127.96100988286335
9.0,1982.0,Ethiopia,82.28915412305324
10.0,1982.0,Ethiopia,120.2351154152072
11.0,1982.0,Ethiopia,50.73613089366761
12.0,1982.0,Ethiopia,12.306034252002728
1.0,1983.0,Ethiopia,9.642570156657062
2.0,1983.0,Ethiopia,17.167028945608354
3.0,1983.0,Ethiopia,27.97429034658863
4.0,1983.0,Ethiopia,85.30495523038859
5.0,1983.0,Ethiopia,116.15385872297819
6.0,1983.0,Ethiopia,69.14181401334673
7.0,1983.0,Ethiopia,118.19088178241772
8.0,1983.0,Ethiopia,143.65489200962043
9.0,1983.0,Ethiopia,90.13927357000887
10.0,1983.0,Ethiopia,64.05915488694527
11.0,1983.0,Ethiopia,24.50061130550288
12.0,1983.0,Ethiopia,5.8201960234906025
1.0,1984.0,Ethiopia,5.8637145651855445
2.0,1984.0,Ethiopia,7.305481400703233
3.0,1984.0,Ethiopia,19.865326244845807
4.0,1984.0,Ethiopia,45.99160466538958
5.0,1984.0,Ethiopia,107.48299872148235
6.0,1984.0,Ethiopia,75.33437869992267
7.0,1984.0,Ethiopia,106.21955736178785
8.0,1984.0,Ethiopia,95.00228973221628
9.0,1984.0,Ethiopia,101.69703674277176
10.0,1984.0,Ethiopia,29.761757261179824
11.0,1984.0,Ethiopia,24.938635737350566
12.0,1984.0,Ethiopia,12.669232447917192
1.0,1985.0,Ethiopia,10.963091419587263
2.0,1985.0,Ethiopia,8.173969388063234
3.0,1985.0,Ethiopia,47.121228376102934
4.0,1985.0,Ethiopia,131.06800132789502
5.0,1985.0,Ethiopia,115.92718911602385
6.0,1985.0,Ethiopia,66.50818977343835
7.0,1985.0,Ethiopia,134.02357355034712
8.0,1985.0,Ethiopia,127.34917716362145
9.0,1985.0,Ethiopia,80.97894088042393
10.0,1985.0,Ethiopia,48.058386424375364
11.0,1985.0,Ethiopia,19.687617571122697
12.0,1985.0,Ethiopia,7.732102915345305
1.0,1986.0,Ethiopia,6.059542842530869
2.0,1986.0,Ethiopia,20.199821036933532
3.0,1986.0,Ethiopia,31.800774901781867
4.0,1986.0,Ethiopia,103.47621687708349
5.0,1986.0,Ethiopia,82.04636984215604
6.0,1986.0,Ethiopia,108.13875473215158
7.0,1986.0,Ethiopia,123.03122383287895
8.0,1986.0,Ethiopia,116.99288401237615
9.0,1986.0,Ethiopia,92.25088758757536
10.0,1986.0,Ethiopia,47.03700120939589
11.0,1986.0,Ethiopia,16.605144057042963
12.0,1986.0,Ethiopia,11.84539484466943
1.0,1987.0,Ethiopia,8.210562948765642
2.0,1987.0,Ethiopia,16.56729000384097
3.0,1987.0,Ethiopia,65.38219288114371
4.0,1987.0,Ethiopia,72.15368153159741
5.0,1987.0,Ethiopia,178.72831332178652
6.0,1987.0,Ethiopia,73.83955839952483
7.0,1987.0,Ethiopia,92.32336242187901
8.0,1987.0,Ethiopia,119.83863037806039
9.0,1987.0,Ethiopia,75.79952173800085
10.0,1987.0,Ethiopia,80.07141988740537
11.0,1987.0,Ethiopia,19.041231083896847
12.0,1987.0,Ethiopia,8.48261557746144
1.0,1988.0,Ethiopia,11.638953063730128
2.0,1988.0,Ethiopia,23.327691450761918
3.0,1988.0,Ethiopia,22.341903715292634
4.0,1988.0,Ethiopia,111.33465039923475
5.0,1988.0,Ethiopia,62.694557656402445
6.0,1988.0,Ethiopia,79.79145897757242
7.0,1988.0,Ethiopia,168.65202979227763
8.0,1988.0,Ethiopia,147.3775408119414
9.0,1988.0,Ethiopia,120.7337888070812
10.0,1988.0,Ethiopia,82.08359848404365
11.0,1988.0,Ethiopia,11.71891388356692
12.0,1988.0,Ethiopia,6.616022374792524
1.0,1989.0,Ethiopia,10.266269417979844
2.0,1989.0,Ethiopia,20.14524561797471
3.0,1989.0,Ethiopia,71.07010508018274
4.0,1989.0,Ethiopia,102.28069234766224
5.0,1989.0,Ethiopia,83.81834787973682
6.0,1989.0,Ethiopia,68.73117123253414
7.0,1989.0,Ethiopia,130.73495498684287
8.0,1989.0,Ethiopia,126.89988682072583
9.0,1989.0,Ethiopia,101.09164002094957
10.0,1989.0,Ethiopia,73.03818352273117
11.0,1989.0,Ethiopia,27.991714268124014
12.0,1989.0,Ethiopia,29.912826536105865
1.0,1990.0,Ethiopia,10.80306208291604
2.0,1990.0,Ethiopia,50.33793581372613
3.0,1990.0,Ethiopia,58.04902984838269
4.0,1990.0,Ethiopia,105.90169433218888
