month,year,country_na,mean
1.0,1981.0,Niger,0.07963778605777598
2.0,1981.0,Niger,0.4488105192889878
3.0,1981.0,Niger,0.4728748426589255
4.0,1981.0,Niger,1.5870302497001278
5.0,1981.0,Niger,10.590158446448994
6.0,1981.0,Niger,14.743591484884087
7.0,1981.0,Niger,44.774226456952924
8.0,1981.0,Niger,41.63234469023205
9.0,1981.0,Niger,16.443380949013722
10.0,1981.0,Niger,1.8123763586640953
11.0,1981.0,Niger,0.24781338913016465
12.0,1981.0,Niger,0.10538365825908687
1.0,1982.0,Niger,0.0798288434580567
2.0,1982.0,Niger,0.5179846012063916
3.0,1982.0,Niger,0.5112152652429939
4.0,1982.0,Niger,1.189308611687005
5.0,1982.0,Niger,8.459869275835851
6.0,1982.0,Niger,12.39976723496317
7.0,1982.0,Niger,27.307126678741817
8.0,1982.0,Niger,56.12701804894142
9.0,1982.0,Niger,8.799220383902107
10.0,1982.0,Niger,2.1834558134412467
11.0,1982.0,Niger,0.23732086638367844
12.0,1982.0,Niger,0.11575033710960002
1.0,1983.0,Niger,0.08089147444240259
2.0,1983.0,Niger,0.44800986000245513
3.0,1983.0,Niger,0.5237898021769964
4.0,1983.0,Niger,1.054284989808356
5.0,1983.0,Niger,7.432054729249077
6.0,1983.0,Niger,15.636031395093848
7.0,1983.0,Niger,31.635962264008285
8.0,1983.0,Niger,37.25957447054248
9.0,1983.0,Niger,16.05311120153113
10.0,1983.0,Niger,1.8521338055262884
11.0,1983.0,Niger,0.2257144088971183
12.0,1983.0,Niger,0.10488655938579751
1.0,1984.0,Niger,0.08174654834095935
2.0,1984.0,Niger,0.44285297777206184
3.0,1984.0,Niger,0.47419454819648527
4.0,1984.0,Niger,1.182546531070235
5.0,1984.0,Niger,6.774591378925194
6.0,1984.0,Niger,8.5585301394053
7.0,1984.0,Niger,19.797682936581342
8.0,1984.0,Niger,13.461299671089153
9.0,1984.0,Niger,18.072333744868427
10.0,1984.0,Niger,2.332361357373059
11.0,1984.0,Niger,0.22793914497396184
12.0,1984.0,Niger,0.10917750826491572
1.0,1985.0,Niger,0.09034324418665526
2.0,1985.0,Niger,0.4425196302029014
3.0,1985.0,Niger,0.5204217632721883
4.0,1985.0,Niger,1.101995863245039
5.0,1985.0,Niger,5.550534701314405
6.0,1985.0,Niger,12.37563132566551
7.0,1985.0,Niger,31.799366053440426
8.0,1985.0,Niger,46.62684752729671
9.0,1985.0,Niger,18.470580940216298
10.0,1985.0,Niger,1.5412687641336564
11.0,1985.0,Niger,0.22858256065560695
12.0,1985.0,Niger,0.10638976004238014
1.0,1986.0,Niger,0.08278495426390123
2.0,1986.0,Niger,0.44571497310185976
3.0,1986.0,Niger,0.46572022657035794
4.0,1986.0,Niger,1.206396190316513
5.0,1986.0,Niger,6.812983554577917
6.0,1986.0,Niger,11.803155798082706
7.0,1986.0,Niger,41.90431541386746
8.0,1986.0,Niger,43.64616608383678
9.0,1986.0,Niger,26.589979151312523
10.0,1986.0,Niger,2.20102830433217
11.0,1986.0,Niger,0.24536409796021133
12.0,1986.0,Niger,0.10562767167081501
1.0,1987.0,Niger,0.08136662428280396
2.0,1987.0,Niger,0.46852985389994156
3.0,1987.0,Niger,0.5067238464514041
4.0,1987.0,Niger,1.0486880077456144
5.0,1987.0,Niger,6.408174162502879
6.0,1987.0,Niger,9.991040966758385
7.0,1987.0,Niger,25.884486343677406
8.0,1987.0,Niger,40.647094552567836
9.0,1987.0,Niger,15.095662464942041
10.0,1987.0,Niger,2.241231554082517
11.0,1987.0,Niger,0.22839068371301316
12.0,1987.0,Niger,0.10327288844536628
1.0,1988.0,Niger,0.08406154697156577
2.0,1988.0,Niger,0.45043411723108917
3.0,1988.0,Niger,0.46119155252880556
4.0,1988.0,Niger,1.5786952477153937
5.0,1988.0,Niger,5.1330217002788485
6.0,1988.0,Niger,17.178484406894913
7.0,1988.0,Niger,47.79171048976758
8.0,1988.0,Niger,69.688155456832
9.0,1988.0,Niger,21.593767358076345
10.0,1988.0,Niger,1.89140813768143
11.0,1988.0,Niger,0.23289733016798767
12.0,1988.0,Niger,0.10563697344066715
1.0,1989.0,Niger,0.08309806885093206
2.0,1989.0,Niger,0.45035162619251345
3.0,1989.0,Niger,0.4638970388516115
4.0,1989.0,Niger,1.0839022948343995
5.0,1989.0,Niger,6.379351282602844
6.0,1989.0,Niger,12.943823455335675
7.0,1989.0,Niger,31.846819253632624
8.0,1989.0,Niger,71.33015525869607
9.0,1989.0,Niger,16.49832223320455
10.0,1989.0,Niger,3.696361154611758
11.0,1989.0,Niger,0.24006001177559497
12.0,1989.0,Niger,0.10484478509654667
1.0,1990.0,Niger,0.08168223467075886
